Baseline 100%T,,Hexanes_pure,,1H_Avoc_BHT_0-8p_Hexanes_0-8p,,1H_Avoc_BHT_0-8p,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
800,45.47608566,800,3.742979765,800,3.026339293,800,2.936868191,
799,45.53176498,799,3.555114269,799,2.931947947,799,2.862554789,
798,45.59719849,798,3.593150139,798,3.131053686,798,2.723180056,
797,45.69868469,797,3.485620022,797,2.897133589,797,2.90247035,
796,45.76202774,796,3.725379705,796,3.14738822,796,2.682194948,
795,45.84061813,795,3.495243549,795,2.939024687,795,2.75270772,
794,45.8681488,794,3.689893007,794,2.8919909,794,2.855731249,
793,45.99943161,793,3.695358992,793,2.951761961,793,2.742562056,
792,45.97386169,792,3.655674696,792,2.826202393,792,2.699536324,
791,46.09254074,791,3.763005495,791,3.003890038,791,2.699901581,
790,46.17386246,790,3.62990284,790,2.912596464,790,2.634674788,
789,46.24591827,789,3.578429222,789,3.016535521,789,2.735157728,
788,46.296875,788,3.72016573,788,2.980292082,788,2.743614197,
787,46.42202377,787,3.585833311,787,2.962311268,787,2.732751608,
786,46.45339584,786,3.811678648,786,2.885397911,786,2.738503218,
785,46.48661041,785,3.64514184,785,3.006106377,785,2.93512392,
784,46.57104492,784,3.779623747,784,3.192215681,784,2.731910229,
783,46.61869431,783,3.675594568,783,2.839205742,783,2.813503742,
782,46.71885681,782,3.921027899,782,2.908611298,782,2.582332611,
781,46.7911377,781,3.726421595,781,3.040715218,781,2.665518045,
780,46.84983063,780,3.863837957,780,2.821477413,780,2.638527393,
779,46.88245773,779,3.621743917,779,2.860893011,779,2.7595613,
778,46.99338913,778,3.580163002,778,3.012999296,778,2.753792048,
777,47.14226532,777,3.583015442,777,2.837128639,777,2.68491292,
776,47.11639023,776,3.577528477,776,2.93675375,776,2.704353333,
775,47.18825531,775,3.727124691,775,3.155102968,775,2.766480446,
774,47.26679993,774,3.684608936,774,2.931265116,774,2.651978016,
773,47.34727859,773,3.760581493,773,2.995597839,773,2.567730904,
772,47.48697662,772,3.823024511,772,2.921984673,772,2.690849543,
771,47.51506424,771,3.658009291,771,2.809648991,771,2.690850735,
770,47.5932579,770,3.641972065,770,3.090233803,770,2.704777241,
769,47.58919144,769,3.770656824,769,2.902465582,769,2.622656822,
768,47.66106033,768,3.688889027,768,2.997819424,768,2.836190224,
