Baseline 100%R,,alina_aged_oil_BHT_0_8,,alina_fresh_oil,,alina_fresh_oil_BHT_0_8,,alina_aged_oil_BHT_0_8_t_28_55,,alina_aged_oil_BHT_0_8_t_31_25,,alina_aged_oil_BHT_0_8_t_32_15,,alina_aged_oil_BHT_0_8_t_37_25,,alina_aged_oil_BHT_0_8_t_44_5,,alina_aged_oil_BHT_0_8_t_50,,alina_aged_oil_BHT_0_8_t_59,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R
400,41.99165344,400,6.448102951,400,7.214719772,400,6.478773117,400,6.382722378,400,6.278832436,400,6.203272343,400,6.2154603,400,6.27061367,400,6.29926157,400,6.360630512
399,41.88414383,399,6.516386509,399,6.823016167,399,6.643555164,399,6.581962109,399,6.220069408,399,6.321685791,399,6.233575344,399,6.169064045,399,6.346286774,399,6.055888176
398,41.8397789,398,6.403178692,398,6.733828545,398,6.562048912,398,6.381561756,398,6.499052048,398,6.248224258,398,6.198785305,398,6.341119766,398,6.192864895,398,6.214056015
397,41.80521393,397,6.559147835,397,6.766715527,397,6.822000504,397,6.548348904,397,6.465038776,397,6.181276321,397,6.378426552,397,6.439963818,397,6.146052837,397,6.045611382
396,41.75304413,396,6.723074436,396,6.857308865,396,6.765326977,396,6.328990459,396,6.271867275,396,6.538003922,396,6.122550964,396,6.296013355,396,6.198088646,396,5.966587543
395,41.7329216,395,6.684036732,395,6.68296051,395,6.685729504,395,6.547143459,395,6.462388515,395,6.355741501,395,6.424469471,395,6.337436199,395,6.442047119,395,5.977549553
394,41.64714813,394,6.667789936,394,7.006686211,394,6.53030777,394,6.399676323,394,6.556286812,394,6.43211174,394,6.362520218,394,6.239707947,394,6.373968124,394,6.124513149
393,41.55966187,393,6.613155365,393,6.919402599,393,6.450000286,393,6.277198315,393,6.389342785,393,6.281359673,393,6.435546398,393,6.487236977,393,6.234054089,393,6.053948402
392,41.54610443,392,6.769846439,392,6.799120426,392,6.477879524,392,6.356814384,392,6.45511055,392,6.761857986,392,6.212863445,392,6.274944305,392,6.348313332,392,6.427954674
391,41.47249222,391,6.955202579,391,6.865852356,391,6.657756329,391,6.462168694,391,6.51691103,391,6.277050018,391,5.987347126,391,6.140028477,391,6.39117527,391,6.453887939
390,41.41320419,390,6.639143944,390,6.971092701,390,6.835486889,390,6.676465988,390,6.378032207,390,6.085950851,390,6.31081295,390,6.445797443,390,6.206439972,390,6.516591549
389,41.37482071,389,7.040847778,389,6.878901482,389,6.629239082,389,6.448791027,389,6.646873951,389,6.521968365,389,6.584733963,389,6.530260086,389,6.375695705,389,6.216258049
388,41.33875656,388,7.138053894,388,7.127552986,388,6.735120773,388,6.812658787,388,6.868005753,388,6.566336632,388,6.490729809,388,6.277392864,388,6.193517685,388,6.292249203
387,41.37348175,387,6.925655842,387,6.990546703,387,6.848622322,387,6.593650818,387,6.966662407,387,6.093150139,387,6.539864063,387,6.209381104,387,6.289961338,387,6.33757019
386,41.26061249,386,6.96700716,386,7.015379429,386,6.860454559,386,6.986134529,386,6.709038258,386,6.360962391,386,6.234492779,386,6.303595543,386,6.387983799,386,6.344892025
385,41.21208191,385,6.709444523,385,7.263935566,385,6.395689964,385,6.849572182,385,6.451515675,385,6.384519577,385,6.495394707,385,6.3610816,385,6.474090576,385,6.660412312
384,41.22627258,384,6.973870277,384,6.971686363,384,6.593182564,384,6.759819984,384,6.405311108,384,6.562890053,384,6.460519791,384,6.312059402,384,6.436537743,384,6.099624157
383,41.08600998,383,6.735068321,383,7.189592838,383,6.885213375,383,6.499372482,383,6.430224419,383,6.522147179,383,6.480948448,383,6.397827625,383,6.578158379,383,6.204779148
382,41.02495193,382,6.985767365,382,7.191565037,382,6.798443317,382,6.679625034,382,6.850094318,382,6.425085068,382,6.531894207,382,6.538344383,382,6.402331352,382,6.148626804
381,40.95436859,381,7.12394619,381,7.248295307,381,6.927022934,381,6.830122471,381,6.681245804,381,6.493019104,381,6.438416958,381,6.624740601,381,6.463058472,381,6.171350479
380,40.86659622,380,6.970959663,380,7.331178188,380,6.991018295,380,6.756392956,380,6.833544254,380,6.5316782,380,6.593027592,380,6.436039448,380,6.484115124,380,6.228805542
379,40.844944,379,7.057519913,379,7.390541553,379,7.481485367,379,6.944313526,379,6.723464489,379,6.707832813,379,6.63993597,379,6.730878353,379,6.649330139,379,6.53172636
378,40.71928024,378,7.092803001,378,7.442237377,378,7.16302681,378,7.02327919,378,6.99222517,378,6.658480167,378,6.700766087,378,6.78905344,378,6.85794878,378,6.899824619
377,40.63899612,377,7.062749386,377,7.40594101,377,7.71787262,377,6.802417278,377,6.71577692,377,6.992420673,377,6.786662102,377,6.694646358,377,6.646457195,377,6.341104031
376,40.60177994,376,7.206267834,376,7.597206593,376,7.260350227,376,7.193873882,376,6.906921387,376,6.851269245,376,7.046200275,376,6.576321125,376,6.904927731,376,6.545087814
375,40.56996536,375,7.243091583,375,7.441727638,375,7.631977081,375,7.111472607,375,6.932540894,375,7.131015301,375,6.703069687,375,6.6513834,375,7.003630638,375,6.397402287
374,40.47055054,374,7.113174915,374,7.494298935,374,7.403670311,374,7.184142113,374,6.854404449,374,6.821288109,374,6.727938175,374,6.678474903,374,6.726144314,374,6.732449055
373,40.33843994,373,7.393115997,373,7.458408356,373,7.397998333,373,7.041390896,373,7.012691498,373,6.831202507,373,7.031021118,373,6.794913292,373,6.866384506,373,6.580405712
372,40.38431549,372,7.442279816,372,7.633881092,372,7.422894478,372,7.008612156,372,7.148876667,372,7.090433598,372,7.083446503,372,6.87206316,372,6.768312931,372,6.855997562
371,40.2834816,371,7.264758587,371,7.512281895,371,7.154238224,371,7.030682087,371,7.102614403,371,6.912483215,371,6.86647892,371,7.034556389,371,6.838206291,371,6.708232403
370,40.22164917,370,7.314980984,370,7.788919449,370,7.331568718,370,7.222658157,370,7.003492355,370,7.094498158,370,6.912332058,370,7.118970871,370,6.897005558,370,6.75844717
369,40.18061829,369,7.738804817,369,7.731209755,369,7.415010929,369,7.25015831,369,7.244232178,369,7.466322899,369,7.125736713,369,6.898128986,369,6.989174366,369,6.807002544
368,40.36990356,368,7.747411728,368,7.533946514,368,7.269047737,368,7.206855774,368,7.157366753,368,7.133305073,368,7.317201138,368,6.880669117,368,7.283899307,368,6.67500639
367,40.14835739,367,7.676651478,367,7.865030289,367,7.416784763,367,7.162145615,367,7.250125885,367,7.031484127,367,6.971745968,367,7.045195103,367,6.980624199,367,6.839052677
366,40.00881958,366,7.669240952,366,8.032691956,366,7.453773022,366,7.24929142,366,7.143473625,366,7.238632202,366,7.218412876,366,7.116566658,366,6.894817352,366,6.733286381
365,40.02601242,365,7.523501873,365,7.819228649,365,7.442023754,365,7.2653265,365,7.216499805,365,7.131668091,365,7.058680058,365,7.013820648,365,7.102318287,365,7.104586601
364,39.9759407,364,7.76341629,364,7.893715858,364,7.766290188,364,7.691840172,364,7.21987772,364,7.386941433,364,7.117794991,364,7.374498844,364,7.185333252,364,6.99576664
363,40.09683609,363,7.598896503,363,7.822667122,363,7.700112343,363,7.430428982,363,7.364443779,363,7.105722904,363,7.228981018,363,7.277183056,363,6.944611549,363,7.068636894
362,39.92626953,362,7.636538029,362,7.680195808,362,7.543274879,362,7.480475903,362,7.412295818,362,7.321026325,362,7.279711723,362,7.104133129,362,7.207645416,362,6.992011547
361,39.93946457,361,7.773219585,361,7.927304268,361,7.399661064,361,7.375702381,361,7.409643173,361,7.361154079,361,7.442138195,361,7.10317564,361,6.990668297,361,7.169543743
360,39.84444809,360,7.680160522,360,7.774051189,360,7.511403561,360,7.690096855,360,7.330215931,360,7.404201508,360,7.349265575,360,7.090027809,360,7.169980049,360,7.105954647
359,39.89283752,359,7.739601135,359,7.863512516,359,7.434479237,359,7.568258286,359,7.31137991,359,7.27281189,359,7.26153183,359,7.254599094,359,6.936203003,359,6.9008255
358,40.05841446,358,7.516451836,358,7.75480938,358,7.494468212,358,7.270667076,358,7.22244072,358,7.111076355,358,7.083156109,358,7.027673721,358,6.875500202,358,6.800732136
357,40.02058029,357,7.654167175,357,7.721712589,357,7.448907852,357,7.279901981,357,7.360034466,357,7.150826454,357,7.158947945,357,7.139733315,357,6.906143665,357,6.852837086
356,39.99059296,356,7.673679829,356,7.735162735,356,7.445067406,356,7.507810593,356,7.228533268,356,7.328061581,356,7.238138676,356,7.012723446,356,6.869748116,356,6.903814316
355,39.89211655,355,7.698908329,355,7.680299282,355,7.384799957,355,7.363657475,355,7.223352909,355,7.422029018,355,7.297021866,355,7.187438965,355,6.973669529,355,6.859848499
354,39.94788361,354,7.660639286,354,7.674259663,354,7.331355095,354,7.241091728,354,7.178981781,354,7.20655632,354,7.053702354,354,6.988131046,354,6.930284977,354,6.815880775
353,39.91454697,353,7.517857075,353,7.617381096,353,7.415763378,353,7.335780621,353,7.175363064,353,7.139302731,353,7.163598537,353,7.005731583,353,6.95356226,353,6.797995567
352,39.89640045,352,7.699602127,352,7.563957691,352,7.457676411,352,7.247960567,352,7.226954937,352,7.162826538,352,7.021938324,352,7.100378513,352,6.846452713,352,6.839934826
351,39.85913467,351,7.532919407,351,7.533144951,351,7.171408176,351,7.34623003,351,7.182551861,351,7.395067692,351,7.152492523,351,7.011572838,351,6.827394485,351,6.910463333
350,39.71137619,350,7.734565258,350,7.507648468,350,7.115872383,350,7.239631653,350,7.28738451,350,7.109802246,350,7.159028053,350,7.117490292,350,6.826890945,350,6.85449028
349,39.86511993,349,7.482441425,349,7.402727127,349,7.015730381,349,7.226209164,349,7.121456623,349,7.043736458,349,7.145001888,349,7.145759583,349,6.801813126,349,6.80946207
348,39.72767258,348,7.748635769,348,7.356296539,348,6.986638069,348,7.235745907,348,7.123261452,348,7.016594887,348,7.228288174,348,6.964485168,348,6.764458656,348,6.80416584
347,39.58573532,347,7.597307682,347,7.310105801,347,7.005944729,347,7.202889919,347,7.193163872,347,7.095097065,347,6.99011898,347,6.918264389,347,6.913586617,347,6.896991253
346,39.54733276,346,7.528053284,346,7.254698277,346,7.048798561,346,7.169656277,346,7.215909004,346,7.008022785,346,7.004007816,346,6.947802067,346,6.808867931,346,6.903551579
345,39.53859329,345,7.481124878,345,7.22350502,345,6.899626732,345,7.129730225,345,7.090891838,345,7.021985054,345,7.074385166,345,6.915680408,345,6.770968437,345,6.821861267
344,39.61948013,344,7.569011211,344,7.156173706,344,6.817419052,344,7.125566959,344,7.091595173,344,6.94621706,344,6.97387886,344,6.88597393,344,6.809116364,344,6.737225533
343,39.56838608,343,7.411979198,343,7.086699486,343,6.80056715,343,7.091151714,343,7.038319111,343,7.044888973,343,7.218033791,343,6.846602917,343,6.743425846,343,6.692834854
342,39.44810486,342,7.471940041,342,7.110316277,342,6.809832096,342,7.080563068,342,7.113785267,342,6.945718288,342,6.937055111,342,6.866238117,342,6.887944221,342,6.741728783
341,39.474617,341,7.368928909,341,7.100390434,341,6.812735558,341,7.089363098,341,7.035031796,341,7.008503437,341,7.099713326,341,6.859912872,341,6.757655621,341,6.835922718
340,39.414711,340,7.409577847,340,7.078742027,340,6.766283512,340,7.075697899,340,7.057470798,340,7.026247501,340,6.921766758,340,6.873025894,340,6.777004242,340,6.661165714
339,39.44122696,339,7.513132095,339,7.060633659,339,6.731069088,339,7.030566692,339,7.017505169,339,6.866628647,339,6.986404419,339,6.955267429,339,6.852628231,339,6.786090851
338,39.40625381,338,7.329010963,338,7.062289238,338,6.808491707,338,7.051870823,338,7.131894588,338,6.916957378,338,6.912458897,338,6.954587936,338,6.764625549,338,6.67814827
337,39.3808403,337,7.396681786,337,7.060241699,337,6.689868927,337,7.127407074,337,6.996787548,337,6.917606831,337,6.928453445,337,6.889864922,337,6.865170002,337,6.789820671
336,39.36675644,336,7.562833309,336,7.013923645,336,6.765179157,336,7.004823685,336,7.025872231,336,7.059399605,336,6.860339642,336,6.916619778,336,6.76465559,336,6.683716774
335,39.32089996,335,7.378414154,335,7.035039425,335,6.681657791,335,7.055000782,335,6.954612732,335,6.870739937,335,7.024588585,335,6.862606049,335,6.771083832,335,6.67464447
334,39.28063965,334,7.412168503,334,7.213138103,334,6.795708656,334,6.985253811,334,7.116578579,334,6.936863899,334,6.939468384,334,6.826762199,334,6.862360954,334,6.667656422
333,39.26795197,333,7.408552647,333,7.061186314,333,6.703543663,333,7.014537811,333,7.000212193,333,7.035839558,333,7.037583828,333,6.954007626,333,6.776341915,333,6.713982105
